0.000	0.016	0.190	-0.271	0.000	0.045	0.000	0.010
0.006	0.010	0.197	-0.264	0.006	0.016	0.010	-0.026
0.010	0.023	0.200	-0.271	0.003	-0.026	0.003	-0.029
0.003	0.023	0.197	-0.277	0.000	-0.010	0.000	0.006
0.000	0.013	0.190	-0.267	0.006	0.006	0.010	-0.013
0.010	0.026	0.203	-0.264	0.010	0.026	0.010	0.029
0.003	0.023	0.245	-0.277	0.000	-0.023	0.003	0.026
0.003	0.016	0.190	-0.277	0.000	-0.039	0.006	0.074
0.006	0.013	0.200	-0.264	0.010	-0.071	0.010	-0.174
0.010	0.023	0.110	-0.271	0.003	0.055	0.003	0.158
0.000	0.019	0.190	-0.277	0.000	0.000	0.000	0.000
0.003	0.013	0.200	-0.267	0.006	-0.003	0.010	-0.055
0.006	0.019	0.206	-0.264	0.010	-0.013	0.003	0.019
0.006	0.026	0.190	-0.271	0.000	0.052	0.000	0.055
-0.003	0.016	0.187	-0.280	0.003	0.032	0.010	-0.064
0.006	0.013	0.197	-0.267	0.010	0.084	0.006	0.106
0.006	0.023	0.213	-0.264	0.003	-0.039	0.003	0.016
0.000	0.026	0.193	-0.274	0.000	-0.029	0.006	-0.087
0.006	0.013	0.200	-0.267	0.006	0.113	0.006	-0.048
0.016	0.013	0.200	-0.261	0.006	0.074	0.000	0.045
0.003	0.023	0.190	-0.274	0.000	0.003	0.000	-0.010
0.000	0.019	0.197	-0.280	0.006	-0.071	0.010	-0.006
0.010	0.013	0.203	-0.264	0.013	0.023	0.003	0.032
0.010	0.023	0.232	-0.261	0.000	-0.068	0.000	-0.110
0.000	0.026	0.187	-0.277	0.003	0.158	0.006	0.064
0.010	0.016	0.203	-0.271	0.006	0.035	0.010	0.006
0.010	0.010	0.180	-0.267	0.006	-0.048	0.003	0.013
0.003	0.026	0.193	-0.274	0.000	-0.016	-0.006	0.006
0.006	0.019	0.197	-0.277	0.010	0.000	0.010	0.026
0.013	0.010	0.200	-0.264	0.006	0.093	0.003	-0.045
0.003	0.023	0.193	-0.264	0.000	0.032	0.003	0.000
-0.003	0.029	0.200	-0.274	0.010	0.000	0.010	0.019
0.010	0.016	0.197	-0.277	0.010	-0.019	0.006	0.119
0.003	0.010	0.226	-0.264	0.000	-0.006	0.000	-0.077
0.000	0.026	0.190	-0.271	0.006	0.074	0.010	-0.032
0.010	0.013	0.200	-0.277	0.006	-0.023	0.010	0.035
0.010	0.013	0.174	-0.267	0.003	-0.023	0.003	0.016
0.000	0.023	0.193	-0.264	0.000	0.013	0.000	0.006
0.010	0.026	0.197	-0.271	0.006	-0.003	0.010	-0.029
0.000	0.013	0.193	-0.267	0.000	0.016	0.000	0.006
0.000	0.023	0.197	-0.274	0.006	0.003	0.013	0.003
0.010	0.026	0.200	-0.274	0.010	0.039	0.006	0.006
0.003	0.013	0.219	-0.271	0.000	0.045	0.003	0.029
0.000	0.019	0.193	-0.264	0.006	0.035	0.006	0.029
0.010	0.026	0.200	-0.271	0.006	-0.029	0.010	0.029
0.010	0.016	0.171	-0.280	0.003	0.019	0.000	-0.081
0.000	0.013	0.193	-0.264	0.000	0.019	0.000	0.084
0.006	0.023	0.203	-0.261	0.006	0.019	0.010	0.081
0.006	0.026	0.200	-0.277	0.000	-0.003	0.010	-0.052
0.003	0.010	0.197	-0.271	0.000	0.100	0.000	-0.029
0.000	0.010	0.193	-0.267	0.003	0.084	0.006	0.068
0.006	0.026	0.203	-0.271	0.006	0.039	0.019	-0.013
0.006	0.016	0.193	-0.280	0.000	0.068	0.000	-0.006
0.000	0.013	0.238	-0.267	0.006	0.064	0.010	-0.045
0.010	0.026	0.200	-0.274	0.013	0.055	0.003	0.023
0.003	0.013	0.193	-0.287	0.000	0.052	0.000	-0.032
0.003	0.019	0.203	-0.264	0.010	0.113	0.013	0.064
0.010	0.026	0.171	-0.274	0.003	0.039	0.003	-0.013
0.000	0.013	0.197	-0.267	0.000	0.010	0.003	0.019
0.010	0.026	0.200	-0.261	0.010	-0.010	0.010	0.006
0.003	0.026	0.235	-0.280	0.003	-0.090	0.000	-0.100
0.000	0.013	0.190	-0.267	0.003	0.171	0.013	0.132
0.006	0.026	0.200	-0.261	0.006	0.055	0.006	-0.039
0.003	0.019	0.197	-0.277	0.000	-0.010	0.000	0.010
0.000	0.013	0.200	-0.267	0.010	-0.006	0.010	-0.006
0.006	0.023	0.206	-0.271	0.006	0.016	0.006	0.042
0.003	0.019	0.193	-0.277	0.000	0.032	0.000	0.023
0.006	0.010	0.203	-0.264	0.010	-0.016	0.013	0.026
0.010	0.026	0.061	-0.274	0.003	0.000	0.003	0.006
0.000	0.016	0.190	-0.280	-0.003	-0.016	0.003	0.035
0.006	0.013	0.203	-0.264	0.010	-0.090	0.013	-0.087
0.006	0.026	0.229	-0.274	0.000	-0.029	0.000	0.006
0.000	0.013	0.190	-0.280	0.003	0.052	0.006	0.016
0.010	0.006	0.203	-0.267	0.006	-0.010	0.006	0.000
0.003	0.026	0.197	-0.274	0.000	-0.032	0.000	-0.019
0.000	0.013	0.197	-0.267	0.006	0.061	0.010	0.061
0.010	0.023	0.206	-0.261	0.006	0.039	0.003	0.019
0.000	0.023	0.190	-0.280	0.000	-0.010	0.000	0.023
0.003	0.013	0.200	-0.267	0.010	0.039	0.006	0.068
0.010	0.019	0.052	-0.264	0.000	0.010	0.000	0.064
0.003	0.029	0.193	-0.277	0.000	0.000	0.003	0.000
0.006	0.013	0.203	-0.264	0.006	-0.035	0.010	0.016
0.006	0.023	0.229	-0.271	0.003	0.006	0.003	0.023
0.000	0.019	0.187	-0.280	0.006	0.000	0.013	0.071
0.010	0.013	0.203	-0.267	0.010	-0.168	0.006	-0.006
0.003	0.026	0.203	-0.271	0.000	0.019	0.000	0.013
0.000	0.016	0.200	-0.280	0.010	0.122	0.013	-0.023
0.010	0.013	0.203	-0.264	0.006	-0.042	0.003	-0.026
0.000	0.026	0.193	-0.274	0.000	-0.032	-0.003	0.019
0.006	0.016	0.200	-0.284	0.006	0.061	0.010	0.023
0.010	0.019	0.203	-0.261	0.006	0.116	0.000	0.000
0.000	0.026	0.193	-0.277	0.000	0.081	0.006	-0.016
0.010	0.013	0.200	-0.267	0.010	0.084	0.010	0.019
0.006	0.023	0.232	-0.264	0.000	0.035	0.000	0.010
0.003	0.026	0.171	-0.280	0.000	0.013	0.010	0.010
0.006	0.013	0.200	-0.267	0.010	0.039	0.006	0.097
0.000	0.023	0.193	-0.264	0.000	-0.006	0.000	0.068
0.006	0.019	0.200	-0.277	0.013	-0.003	0.010	0.010
0.010	0.013	0.203	-0.264	0.006	0.013	0.003	0.055
0.003	0.026	0.187	-0.271	0.000	0.006	0.006	0.055
0.006	0.019	0.200	-0.277	0.013	-0.010	0.010	0.074
0.013	0.010	0.203	-0.264	0.003	-0.026	0.000	-0.068
0.000	0.029	0.184	-0.277	0.003	-0.019	0.006	0.119
0.010	0.013	0.197	-0.280	0.010	0.064	0.006	0.029
0.006	0.006	0.222	-0.264	0.000	-0.019	0.000	-0.003
0.000	0.026	0.200	-0.277	0.006	-0.023	0.010	0.026
0.010	0.016	0.200	-0.267	0.006	0.026	0.003	0.016
0.003	0.023	0.197	-0.264	0.000	0.006	0.000	0.010
0.006	0.029	0.200	-0.277	0.006	0.039	0.013	0.035
0.010	0.013	0.071	-0.264	0.006	0.029	0.003	0.010
0.000	0.023	0.190	-0.261	0.000	0.032	0.006	0.042
0.010	0.029	0.203	-0.277	0.006	-0.013	0.010	0.006
0.006	0.013	0.232	-0.264	0.000	0.000	0.003	0.006
0.010	0.016	0.200	-0.277	0.006	0.026	0.006	0.013
0.000	0.013	0.190	-0.267	0.000	-0.045	0.000	-0.023
0.003	0.019	0.187	-0.261	0.006	0.003	0.006	-0.003
0.010	0.026	0.200	-0.274	0.010	0.064	0.010	0.039
0.006	0.016	0.229	-0.267	0.006	-0.048	0.000	-0.006
0.000	0.013	0.193	-0.267	0.000	-0.013	0.006	-0.006
0.010	0.023	0.200	-0.274	0.006	-0.003	0.010	0.052
0.013	0.019	0.203	-0.277	0.003	-0.010	0.003	-0.090
0.000	0.010	0.193	-0.267	-0.003	-0.035	0.000	-0.077
-0.010	0.023	0.200	-0.261	0.010	0.074	0.006	0.116
0.010	0.023	0.200	-0.274	0.006	-0.029	0.010	-0.055
0.006	0.013	0.193	-0.277	0.000	0.019	0.003	-0.003
0.000	0.013	0.193	-0.264	0.006	0.006	0.010	-0.077
0.010	0.023	0.203	-0.274	0.006	0.110	0.010	0.087
0.006	0.016	0.219	-0.277	0.003	0.093	0.003	0.026
0.000	0.013	0.193	-0.267	0.000	0.013	0.006	0.010
0.006	0.026	0.200	-0.267	0.006	0.003	0.013	0.064
0.016	0.026	0.222	-0.280	0.000	0.026	0.000	0.052
0.000	0.013	0.193	-0.264	0.003	0.071	0.006	-0.016
0.010	0.026	0.200	-0.271	0.006	-0.016	0.010	0.052
0.003	0.019	0.193	-0.280	0.000	0.023	0.000	0.010
0.000	0.016	0.193	-0.264	0.006	0.000	0.006	0.029
0.010	0.023	0.203	-0.271	0.003	0.000	0.006	0.032
0.000	0.019	0.187	-0.277	0.000	0.006	0.000	0.000
0.006	0.010	0.197	-0.264	0.010	0.019	0.010	0.068
0.010	0.023	0.135	-0.274	0.003	-0.019	0.003	-0.074
0.006	0.013	0.193	-0.277	0.000	0.048	0.006	0.048
0.010	0.010	0.200	-0.261	0.006	0.000	0.010	-0.039
0.006	0.026	0.226	-0.274	0.000	-0.023	0.000	-0.016
0.000	0.013	0.187	-0.271	0.003	0.032	0.006	0.023
0.006	0.023	0.203	-0.264	0.010	-0.003	0.006	0.010
0.003	0.026	0.193	-0.277	0.000	0.026	0.000	0.003
0.000	0.013	0.197	-0.267	0.010	0.026	0.006	0.023
0.010	0.023	0.200	-0.264	0.006	-0.074	0.006	0.026
0.000	0.026	0.193	-0.277	0.000	-0.045	0.000	0.090
0.006	0.013	0.197	-0.267	0.010	0.139	0.010	-0.132
0.013	0.023	0.129	-0.274	0.003	0.048	0.000	0.122
0.000	0.019	0.187	-0.277	0.000	-0.013	0.006	0.029
0.006	0.010	0.200	-0.264	0.010	0.010	0.006	-0.006
0.013	0.023	0.200	-0.264	0.003	0.058	0.003	0.000
0.003	0.029	0.190	-0.277	0.000	0.064	0.006	0.023
0.010	0.016	0.203	-0.271	0.006	0.064	0.010	0.016
0.013	0.023	0.197	-0.261	0.000	0.029	0.003	0.023
0.000	0.029	0.190	-0.277	0.000	0.029	0.006	0.029
0.003	0.013	0.193	-0.267	0.010	0.000	0.010	0.016
0.010	0.023	0.190	-0.264	0.000	-0.013	0.003	0.045
0.000	0.026	0.187	-0.274	0.000	0.016	0.006	0.016
0.010	0.013	0.200	-0.264	0.010	0.029	0.013	0.019
0.010	0.019	0.200	-0.267	0.000	0.000	0.000	0.010
0.000	0.026	0.190	-0.274	0.000	0.000	0.006	0.032
0.003	0.013	0.197	-0.271	0.010	0.052	0.013	0.026
0.003	0.019	0.200	-0.264	0.003	0.052	0.006	0.000
0.000	0.026	0.190	-0.274	0.000	-0.003	0.010	0.013
0.006	0.016	0.197	-0.280	0.013	0.013	0.010	0.006
0.000	0.010	0.197	-0.264	0.003	0.039	0.003	0.010
0.000	0.026	0.190	-0.277	-0.003	0.026	0.003	0.010
0.010	0.016	0.203	-0.280	0.010	0.003	0.013	0.019
0.006	0.010	0.203	-0.264	0.003	0.010	0.003	0.003
0.000	0.026	0.187	-0.274	0.000	0.000	0.006	0.016
0.006	0.016	0.200	-0.277	0.010	0.019	0.010	0.016
0.010	0.010	0.193	-0.264	0.003	0.003	0.003	0.029
0.000	0.026	0.193	-0.271	-0.003	-0.019	0.006	0.045
0.010	0.019	0.200	-0.277	0.006	0.000	0.010	-0.035
0.006	0.010	0.213	-0.264	0.003	0.110	0.000	0.035
0.000	0.026	0.190	-0.271	-0.006	0.000	0.006	0.010
0.010	0.016	0.200	-0.277	0.006	0.026	0.010	0.003
0.006	0.010	0.219	-0.264	0.003	0.042	0.000	0.010
0.000	0.023	0.190	-0.264	0.000	0.055	0.003	0.035
0.006	0.023	0.197	-0.274	0.010	0.029	0.010	0.023
0.013	0.016	0.203	-0.280	0.003	0.058	0.006	0.003
0.003	0.013	0.193	-0.264	0.000	-0.003	0.000	0.016
0.000	0.026	0.200	-0.271	0.006	0.006	0.006	0.035
0.013	0.016	0.203	-0.280	0.006	0.039	0.003	0.026
0.000	0.003	0.190	-0.267	-0.003	-0.006	0.006	0.006
0.003	0.013	0.193	-0.267	0.000	0.006	0.000	0.010
0.006	0.026	0.200	-0.274	0.010	0.000	0.006	0.023
0.010	0.013	0.084	-0.277	0.000	0.039	0.000	0.016
0.000	0.003	0.190	-0.264	0.003	-0.006	0.003	-0.006
0.010	0.026	0.203	-0.277	0.006	0.006	0.006	0.006
0.003	0.010	0.193	-0.267	0.000	0.032	0.000	-0.023
0.006	0.026	0.200	-0.267	0.010	0.000	0.010	0.003
0.010	0.016	0.058	-0.277	0.000	0.048	0.000	0.032
0.000	0.006	0.190	-0.267	0.000	0.013	0.010	-0.003
0.010	0.026	0.203	-0.271	0.010	0.013	0.010	0.016
0.006	0.016	0.229	-0.277	0.003	0.019	0.000	-0.032
0.000	0.006	0.190	-0.264	0.006	0.026	0.010	0.052
0.013	0.026	0.203	-0.274	0.010	-0.016	0.010	-0.010
0.003	0.013	0.197	-0.287	0.000	0.113	0.000	0.003
0.000	0.023	0.203	-0.264	0.010	-0.006	0.010	-0.006
0.010	0.026	0.203	-0.274	0.003	-0.016	0.006	0.000
0.003	0.013	0.190	-0.267	0.000	-0.006	-0.003	-0.003
0.006	0.026	0.203	-0.264	0.010	0.048	0.010	0.019
0.013	0.026	0.193	-0.274	0.000	0.003	0.003	-0.010
0.000	0.013	0.190	-0.264	-0.010	0.013	0.006	-0.003
0.010	0.026	0.200	-0.261	0.010	0.016	0.010	0.039
0.003	0.019	0.226	-0.280	0.000	0.039	0.000	0.000
0.000	0.013	0.148	-0.267	0.006	0.000	0.006	0.006
0.013	0.023	0.200	-0.267	0.010	0.035	0.006	0.035
0.003	0.023	0.197	-0.277	0.003	0.026	0.000	-0.023
0.006	0.010	0.197	-0.264	0.010	0.013	0.010	0.010
0.010	0.023	0.203	-0.274	0.003	0.013	0.003	0.032
0.000	0.016	0.193	-0.280	0.000	0.010	0.010	0.035
0.006	0.010	0.200	-0.264	0.010	-0.010	0.010	0.000
0.010	0.026	0.193	-0.274	0.003	-0.039	0.000	-0.068
0.000	0.013	0.190	-0.290	0.006	0.064	0.006	0.077
0.010	0.016	0.203	-0.264	0.006	0.071	0.013	0.071
0.003	0.026	0.242	-0.277	0.000	-0.006	0.000	0.000
0.000	0.013	0.197	-0.267	0.010	0.010	0.010	0.003
0.010	0.023	0.206	-0.264	0.003	0.064	0.003	0.064
0.003	0.026	0.193	-0.277	0.000	0.048	0.000	0.039
0.003	0.013	0.200	-0.267	0.006	0.013	0.010	0.000
0.010	0.026	0.132	-0.258	0.003	0.023	0.003	0.026
0.003	0.016	0.190	-0.274	0.000	0.016	0.006	0.016
0.010	0.010	0.197	-0.264	0.010	0.019	0.006	0.000
0.006	0.026	0.226	-0.271	0.003	0.026	0.000	0.023
0.000	0.019	0.190	-0.277	0.006	-0.006	0.006	0.019
0.013	0.010	0.203	-0.261	0.006	-0.058	0.006	0.026
0.003	0.026	0.193	-0.274	0.000	0.071	0.000	-0.055
0.000	0.013	0.193	-0.277	0.006	0.035	0.006	0.039
0.010	0.010	0.203	-0.264	0.006	0.000	0.006	0.016
0.003	0.023	0.193	-0.274	0.000	0.013	0.000	0.013
0.003	0.013	0.203	-0.277	0.010	0.032	0.010	0.019
0.006	0.010	0.200	-0.264	0.010	0.013	0.006	0.006
0.003	0.023	0.226	-0.261	0.000	0.016	0.000	-0.006
0.003	0.026	0.187	-0.277	0.003	0.016	0.006	0.010
0.010	0.016	0.203	-0.267	0.006	0.010	0.010	0.000
0.003	0.010	0.197	-0.264	0.003	-0.003	0.003	0.010
0.000	0.023	0.190	-0.274	0.000	0.006	0.006	0.006
0.006	0.019	0.200	-0.277	0.010	0.010	0.010	0.010
0.010	0.016	0.203	-0.264	0.006	0.000	0.003	0.019
0.003	0.026	0.193	-0.261	0.000	0.000	0.000	0.006
0.000	0.029	0.193	-0.274	0.006	0.032	0.010	0.042
0.010	0.016	0.200	-0.280	0.010	0.013	0.006	0.000
0.006	0.010	0.232	-0.264	0.003	0.032	0.000	0.023
0.000	0.023	0.190	-0.274	0.006	-0.010	0.003	0.003
0.006	0.016	0.197	-0.277	0.010	0.032	0.013	0.029
0.010	0.010	0.142	-0.267	0.003	0.029	0.003	0.032
0.000	0.023	0.193	-0.264	0.000	0.016	0.000	0.048
0.006	0.026	0.200	-0.274	0.010	-0.006	0.010	-0.023
0.010	0.019	0.203	-0.277	0.010	0.026	0.003	0.035
0.003	0.010	0.200	-0.261	0.003	0.000	0.000	0.032
0.003	0.019	0.164	-0.267	0.003	0.026	0.006	0.006
0.010	0.026	0.200	-0.274	0.010	0.010	0.013	0.026
0.006	0.013	0.203	-0.264	0.003	0.016	0.003	-0.003
0.003	0.000	0.190	-0.264	-0.003	0.000	0.006	-0.026
0.006	0.026	0.200	-0.274	0.010	0.010	0.010	0.016
0.010	0.016	0.203	-0.277	0.003	0.003	0.003	0.000
0.003	0.010	0.197	-0.264	0.000	0.052	0.000	0.003
0.010	0.026	0.203	-0.274	0.010	0.023	0.006	0.026
0.003	0.019	0.190	-0.267	0.000	0.023	0.000	0.019
0.000	0.023	0.200	-0.264	0.006	0.013	0.010	0.023
0.010	0.026	0.200	-0.277	0.006	0.039	0.003	0.026
0.003	0.013	0.190	-0.264	0.000	0.058	0.000	0.026
0.006	0.023	0.200	-0.264	0.010	0.026	0.006	0.023
0.006	0.026	0.119	-0.277	0.006	0.039	0.000	0.016
0.000	0.010	0.190	-0.264	0.000	0.016	0.006	0.016
0.010	0.023	0.197	-0.267	0.006	0.039	0.010	0.016
0.006	0.019	0.238	-0.277	0.000	0.003	0.000	0.003
0.000	0.010	0.193	-0.264	0.003	0.035	0.006	0.019
0.010	0.023	0.203	-0.271	0.006	0.016	0.000	0.023
0.006	0.016	0.193	-0.280	0.000	0.010	0.000	-0.006
0.000	0.010	0.203	-0.264	0.006	0.019	0.010	-0.006
0.010	0.023	0.203	-0.267	0.010	-0.010	0.006	0.010
0.003	0.019	0.193	-0.277	0.000	0.039	0.000	0.032
0.000	0.010	0.203	-0.267	0.006	-0.016	0.010	0.032
0.010	0.026	0.200	-0.274	0.010	-0.026	0.006	0.023
0.003	0.019	0.197	-0.277	0.003	0.068	0.000	-0.042
0.000	0.013	0.197	-0.264	0.006	0.000	0.013	0.016
0.010	0.023	0.206	-0.261	0.010	-0.003	0.006	0.023
0.003	0.026	0.190	-0.277	0.000	0.023	0.000	0.010
0.000	0.010	0.200	-0.264	0.006	0.019	0.010	0.016
0.006	0.019	0.206	-0.264	0.010	0.000	0.006	-0.026
0.003	0.026	0.193	-0.277	0.000	0.071	0.000	0.023
0.000	0.013	0.200	-0.267	0.006	0.029	0.006	0.039
0.006	0.019	0.200	-0.264	0.006	0.000	0.003	0.061
0.000	0.026	0.193	-0.277	0.000	-0.006	0.000	-0.035
0.000	0.013	0.197	-0.271	0.006	0.058	0.006	0.074
0.010	0.000	0.200	-0.261	0.010	0.026	0.006	-0.026
0.003	0.026	0.209	-0.274	0.000	0.023	0.000	0.026
0.000	0.016	0.193	-0.280	0.010	0.029	0.006	0.019
0.006	0.010	0.200	-0.267	0.010	0.019	0.010	0.000
0.006	0.026	0.235	-0.271	0.000	0.003	0.000	0.003
0.000	0.026	0.190	-0.274	-0.003	0.029	0.006	0.016
0.010	0.016	0.197	-0.264	0.010	0.013	0.010	0.010
0.006	0.019	0.132	-0.264	0.003	-0.006	0.003	0.000
0.000	0.026	0.190	-0.274	0.000	0.013	0.003	0.023
0.010	0.019	0.200	-0.277	0.010	0.023	0.013	0.039
0.010	0.010	0.200	-0.264	0.010	-0.032	0.006	-0.013
0.003	0.023	0.226	-0.264	0.000	-0.006	0.003	0.045
0.000	0.026	0.190	-0.274	0.010	0.006	0.006	0.016
0.006	0.016	0.200	-0.271	0.010	0.016	0.006	0.006
0.003	0.010	0.197	-0.264	0.000	0.019	0.000	0.006
0.000	0.026	0.193	-0.274	0.000	0.000	0.010	0.032
0.010	0.016	0.193	-0.277	0.006	0.045	0.013	0.023
0.010	0.006	0.161	-0.264	0.006	0.032	0.000	0.023
0.000	0.023	0.190	-0.271	0.000	0.035	0.006	0.016
0.010	0.016	0.193	-0.280	0.010	0.032	0.013	0.019
0.010	0.013	0.155	-0.264	0.000	-0.003	0.000	0.016
0.003	0.023	0.190	-0.267	0.000	0.003	0.006	0.032
0.006	0.016	0.200	-0.277	0.013	0.097	0.013	-0.052
0.013	0.013	0.161	-0.271	0.003	-0.023	0.000	0.019
0.000	0.023	0.190	-0.258	0.000	0.003	0.003	0.006
0.006	0.026	0.197	-0.277	0.010	0.013	0.013	0.013
0.010	0.013	0.058	-0.264	0.006	-0.003	0.000	0.006
0.000	0.019	0.190	-0.264	0.000	0.055	0.000	0.013
0.006	0.026	0.197	-0.277	0.006	0.019	0.010	-0.003
0.010	0.013	0.180	-0.264	0.003	0.026	0.000	0.016
0.000	0.023	0.187	-0.264	0.000	-0.006	0.006	0.029
0.010	0.026	0.203	-0.277	0.006	0.019	0.013	0.042
0.003	0.013	0.245	-0.264	0.003	0.029	0.000	0.000
0.000	0.026	0.155	-0.274	0.006	0.003	0.010	0.010
0.010	0.016	0.200	-0.277	0.010	0.019	0.003	0.032
0.006	0.013	0.180	-0.264	0.003	0.023	0.000	0.000
-0.003	0.026	0.197	-0.274	0.010	-0.013	0.010	0.010
0.010	0.016	0.203	-0.277	0.006	0.039	0.003	0.032
0.000	0.006	0.190	-0.264	0.000	0.039	-0.013	0.026
0.003	0.023	0.200	-0.274	0.006	0.010	0.010	0.023
0.010	0.013	0.184	-0.280	0.003	0.023	0.000	0.016
0.000	0.010	0.190	-0.264	-0.013	-0.010	0.010	-0.006
0.010	0.023	0.200	-0.274	0.010	0.010	0.013	0.035
0.003	0.013	0.248	-0.287	0.003	0.032	0.003	0.035
0.000	0.019	0.174	-0.264	0.006	-0.003	0.006	0.006
0.003	0.013	0.193	-0.267	0.000	0.026	0.000	0.029
-0.010	0.023	0.193	-0.264	0.006	0.026	0.010	0.006
0.010	0.026	0.203	-0.277	0.006	0.010	0.003	0.000
0.003	0.013	0.190	-0.264	0.000	0.035	0.000	0.026
0.006	0.023	0.200	-0.264	0.006	0.045	0.010	0.003
0.010	0.023	0.184	-0.277	0.000	0.019	0.000	0.019
0.003	0.010	0.193	-0.264	0.000	0.029	0.000	0.052
0.006	0.019	0.200	-0.264	0.010	0.003	0.013	-0.013
0.006	0.023	0.200	-0.277	0.003	0.006	0.000	0.035
0.000	0.013	0.190	-0.271	0.000	0.052	0.000	0.026
0.003	0.016	0.197	-0.264	0.010	0.010	0.010	0.010
0.010	0.026	0.197	-0.274	0.006	0.003	0.006	0.016
0.003	0.013	0.193	-0.280	0.000	0.029	0.000	0.016
0.000	0.010	0.200	-0.264	0.010	0.035	0.010	0.013
0.006	0.023	0.200	-0.264	0.010	0.006	0.010	0.013
0.010	0.026	0.248	-0.277	0.003	0.023	0.000	0.026
0.000	0.013	0.187	-0.284	-0.003	0.023	0.006	0.000
0.006	0.006	0.193	-0.271	0.010	0.000	0.010	0.000
0.010	0.026	0.122	-0.274	0.003	0.006	0.003	0.029
0.003	0.013	0.190	-0.277	0.000	0.016	0.000	0.026
0.006	0.013	0.197	-0.267	0.010	0.026	0.013	0.010
0.010	0.023	0.206	-0.261	0.010	0.023	0.006	0.032
0.003	0.026	0.232	-0.274	0.000	0.010	0.000	0.035
0.000	0.016	0.190	-0.277	0.003	0.032	0.010	0.039
0.006	0.010	0.203	-0.264	0.010	0.023	0.013	0.006
0.010	0.023	0.139	-0.264	0.000	0.006	0.003	0.023
0.003	0.026	0.190	-0.277	0.000	0.003	0.000	0.016
0.006	0.013	0.200	-0.267	0.006	0.013	0.010	0.016
0.013	0.003	0.203	-0.264	0.003	-0.006	0.003	0.000
0.000	0.026	0.200	-0.274	0.000	0.003	0.000	0.013
0.000	0.019	0.164	-0.277	0.006	0.006	0.010	0.000
0.006	0.010	0.197	-0.264	0.006	-0.010	0.010	-0.003
0.003	0.023	0.226	-0.271	0.000	-0.006	0.000	-0.003
0.000	0.019	0.197	-0.277	0.006	0.013	0.010	0.006
0.010	0.010	0.203	-0.264	0.006	0.023	0.006	0.026
0.003	0.023	0.235	-0.264	0.000	0.026	0.000	0.029
0.000	0.029	0.190	-0.277	0.003	0.023	0.006	0.035
0.006	0.013	0.197	-0.267	0.010	0.035	0.006	0.045
0.010	0.010	0.158	-0.264	0.003	0.048	0.000	0.055
0.000	0.023	0.187	-0.271	0.000	0.000	0.000	0.029
0.006	0.023	0.200	-0.277	0.006	0.019	0.010	0.010
0.010	0.013	0.203	-0.267	0.003	0.019	0.003	-0.023
0.003	0.026	0.213	-0.264	0.000	0.032	0.000	0.058
0.000	0.026	0.171	-0.274	0.006	0.006	0.006	0.016
0.006	0.013	0.203	-0.277	0.010	0.013	0.003	-0.013
0.006	0.013	0.209	-0.267	0.000	-0.019	0.000	0.003
0.000	0.023	0.190	-0.271	0.000	0.023	0.003	-0.035
0.006	0.029	0.197	-0.277	0.013	0.058	0.010	0.042
0.006	0.016	0.203	-0.267	0.003	0.013	0.003	0.010
0.003	0.023	0.193	-0.261	0.000	0.010	0.000	0.023
0.003	0.023	0.200	-0.271	0.006	0.006	0.006	0.068
0.013	0.016	0.200	-0.280	0.010	-0.019	0.010	0.081
0.006	0.013	0.206	-0.267	0.003	0.048	0.000	-0.100
0.000	0.023	0.187	-0.264	0.006	0.045	0.006	0.026
0.010	0.023	0.203	-0.277	0.010	-0.003	0.010	0.039
0.016	0.013	0.177	-0.271	0.003	0.003	0.003	-0.006
0.000	0.010	0.193	-0.264	0.000	0.013	0.000	-0.019
0.006	0.026	0.200	-0.274	0.010	0.019	0.010	0.003
0.010	0.019	0.200	-0.277	0.003	0.013	0.006	0.035
0.006	0.010	0.193	-0.267	0.000	-0.023	0.000	-0.068
0.000	0.023	0.180	-0.264	0.003	0.035	0.006	0.087
0.010	0.023	0.200	-0.274	0.010	0.023	0.013	-0.019
0.006	0.016	0.216	-0.280	0.003	-0.010	0.000	0.058
0.000	0.010	0.193	-0.264	0.000	-0.013	0.006	0.013
0.006	0.023	0.200	-0.271	0.010	0.032	0.006	0.023
0.013	0.016	0.222	-0.280	0.003	0.035	0.003	0.045
0.000	0.010	0.193	-0.264	0.003	0.010	0.006	-0.013
0.010	0.026	0.203	-0.277	0.010	-0.019	0.016	-0.003
0.006	0.010	0.197	-0.280	0.003	0.023	0.000	0.048
0.000	0.010	0.300	-0.267	0.003	0.023	0.010	-0.023
0.010	0.026	0.200	-0.274	0.010	0.035	0.006	0.064
0.003	0.016	0.193	-0.280	0.000	0.016	0.000	0.039
0.000	0.010	0.193	-0.264	0.006	0.013	0.006	0.000
0.006	0.023	0.200	-0.264	0.006	0.029	0.010	0.013
0.000	0.010	0.187	-0.271	-0.003	0.048	-0.003	0.023
0.010	0.000	0.200	-0.261	0.006	0.000	0.010	-0.016
0.010	0.026	0.119	-0.277	0.003	-0.042	0.000	0.048
0.000	0.016	0.187	-0.267	0.000	0.055	0.006	-0.019
0.006	0.019	0.197	-0.267	0.010	0.010	0.010	-0.023
0.003	0.026	0.255	-0.277	0.003	-0.035	0.000	0.074
0.000	0.013	0.190	-0.264	0.006	0.045	0.010	-0.026
0.010	0.023	0.197	-0.261	0.006	0.061	0.006	-0.035
